Frecuencia_kHz,H0_kA_m,Amplitud_mV
270,20,2.7326588857142857
270,24,3.153821475
270,27,3.8893197857142856
270,31,4.173762960714286
270,35,5.032326535714285
270,38,5.626288444444445
270,42,5.395335214285716
270,46,6.549436225
270,50,7.217131385714285
270,53,7.823253257142859
270,57,8.563187892857142
300,20,2.0508134964285714
300,24,2.844935821428571
300,27,3.415778637857143
300,31,4.305748576923077
300,35,4.9988575
300,38,5.142919067857143
300,42,6.0785532392857125
300,46,7.020569107142856
300,50,7.492401142857142
300,53,8.380372214285714
300,57,8.699538492592593
