Frecuencia_kHz,H0_kA_m,Pendiente,Pendiente_err,Pendiente_ufloat
270,20,8.082468321428571,1.2339054809177488,8.1+/-1.2
270,24,7.85228795357143,1.7831176224663867,7.9+/-1.8
270,27,8.39281425,0.5681100617981159,8.4+/-0.6
270,31,7.930901128571428,2.2781491584150944,7.9+/-2.3
270,35,8.539271178571427,1.024604384227711,8.5+/-1.0
270,38,8.623735222222221,0.043712391375929915,8.62+/-0.04
270,42,7.515046749999998,0.23778751381712704,7.52+/-0.24
270,46,8.390236857142858,1.8308946254980634,8.4+/-1.8
270,50,8.554854035714285,1.7066981659477438,8.6+/-1.7
270,53,8.626727267857143,1.7028111751506603,8.6+/-1.7
270,57,8.827883178571428,0.09900919881327541,8.83+/-0.10
300,20,5.286740749999999,0.7561209208122083,5.3+/-0.8
300,24,6.178630464285713,0.3488190833136122,6.18+/-0.35
300,27,6.4071051175,1.2510420520846266,6.4+/-1.3
300,31,7.114215538461539,0.06408450914176388,7.11+/-0.06
300,35,7.3745605,0.05455241488467779,7.37+/-0.05
300,38,6.85744010357143,1.8130604026687782,6.9+/-1.8
300,42,7.367955099999998,1.3934886569231038,7.4+/-1.4
300,46,7.821592714285713,0.10070053866356755,7.82+/-0.10
300,50,7.722365464285715,0.9912491447939197,7.7+/-1.0
300,53,8.036822571428571,0.222366532210645,8.04+/-0.22
300,57,7.799612129629629,1.506938722489378,7.8+/-1.5
